ort,plz,landkreis,bundesland
Aach,78267,Landkreis Konstanz,Baden-Württemberg
Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz
Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen
Aalen,73430,Ostalbkreis,Baden-Württemberg
Aalen,73431,Ostalbkreis,Baden-Württemberg
Aalen,73432,Ostalbkreis,Baden-Württemberg
Aalen,73433,Ostalbkreis,Baden-Württemberg
Aalen,73434,Ostalbkreis,Baden-Württemberg
Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen
Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein
Abenberg,91183,Landkreis Roth,Bayern
Abensberg,93326,Landkreis Kelheim,Bayern
Abentheuer,55767,Landkreis Birkenfeld,Rheinland-Pfalz
Absberg,91720,Landkreis Weißenburg-Gunzenhausen,Bayern
Abstatt,74232,Landkreis Heilbronn,Baden-Württemberg
Abtsbessingen,99713,Kyffhäuserkreis,Thüringen
Abtsgmünd,73453,Ostalbkreis,Baden-Württemberg
Abtsteinach,69518,Kreis Bergstraße,Hessen
Abtswind,97355,Landkreis Kitzingen,Bayern
Abtweiler,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz
Achberg,88147,Landkreis Ravensburg,Baden-Württemberg
Achern,77855,Ortenaukreis,Baden-Württemberg
Achim,28832,Landkreis Verden,Niedersachsen
Achslach,94250,Landkreis Regen,Bayern
Achstetten,88480,Landkreis Biberach,Baden-Württemberg
Acht,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Achtelsbach,55767,Landkreis Birkenfeld,Rheinland-Pfalz
